label,clean_text,source,label_id
phishing,"Hello, we noticed issue with your password reset. Please confirm details to resolve. Thank you.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your refund account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards. Action required promptly.",llm,1
phishing,URGENT your investment problem!! Verify info now or lose access dont delay!!!,llm,1
phishing,"Hello, we noticed issue with your suspicious transaction. Please confirm details to resolve.",llm,1
phishing,URGENT your charity problem!! Verify info now or lose access dont delay!!!,llm,1
phishing,"Hello, we noticed issue with your tech support. Please confirm details to resolve. Thank you.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your job offer account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards.",llm,1
phishing,"Hello, we noticed issue with your tech support. Please confirm details to resolve.",llm,1
phishing,"Hello, we noticed issue with your tax notice. Please confirm details to resolve.",llm,1
phishing,URGENT your order issue problem!! Verify info now or lose access dont delay!!! Thank you.,llm,1
phishing,"Hello, we noticed issue with your bank suspension. Please confirm details to resolve.",llm,1
phishing,URGENT your business proposal problem!! Verify info now or lose access dont delay!!! Thank you.,llm,1
phishing,"Hello, we noticed issue with your romance. Please confirm details to resolve.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your prize win account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards. Action required promptly.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your romance account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your account verification account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards.",llm,1
phishing,URGENT your suspicious transaction problem!! Verify info now or lose access dont delay!!! Thank you.,llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your password reset account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards.",llm,1
phishing,URGENT your tax notice problem!! Verify info now or lose access dont delay!!! Action required promptly.,llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your invoice account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards.",llm,1
phishing,"Hello, we noticed issue with your prize win. Please confirm details to resolve.",llm,1
phishing,"Dear valued customer, Our team identified a matter regarding your charity account. Please review and verify your information at your convenience to ensure uninterrupted service. Best regards. Action required promptly.",llm,1
phishing,"Hello, we noticed issue with your prize win. Please confirm details to resolve.",llm,1
phishing,URGENT your order issue problem!! Verify info now or lose access dont delay!!!,llm,1
phishing,URGENT your government problem!! Verify info now or lose access dont delay!!! Thank you.,llm,1
